player,position,team,shirt_number,dob,age,height,strong_foot,date_joined,date_contract,market_value
Thibaut Courtois,Goalkeeper,Real Madrid,1,"May 11, 1992",30,2.00m,left,"Aug 9, 2018","Jun 30, 2026",€60.00m
Andriy Lunin,Goalkeeper,Real Madrid,13,"Feb 11, 1999",23,1.91m,right,"Jul 1, 2018","Jun 30, 2024",€2.50m
Éder Militão,Centre-Back,Real Madrid,3,"Jan 18, 1998",24,1.86m,right,"Jul 1, 2019","Jun 30, 2025",€60.00m
David Alaba,Centre-Back,Real Madrid,4,"Jun 24, 1992",30,1.80m,left,"Jul 1, 2021","Jun 30, 2026",€55.00m
Antonio Rüdiger,Centre-Back,Real Madrid,22,"Mar 3, 1993",29,1.90m,right,"Jul 1, 2022","Jun 30, 2026",€40.00m
Nacho Fernández,Centre-Back,Real Madrid,6,"Jan 18, 1990",32,1.80m,right,"Jul 1, 2013","Jun 30, 2023",€7.00m
Jesús Vallejo,Centre-Back,Real Madrid,5,"Jan 5, 1997",25,1.84m,right,"Jul 31, 2015","Jun 30, 2025",€3.00m
Ferland Mendy,Left-Back,Real Madrid,23,"Jun 8, 1995",27,1.80m,left,"Jul 1, 2019","Jun 30, 2025",€40.00m
Daniel Carvajal,Right-Back,Real Madrid,2,"Jan 11, 1992",30,1.73m,right,"Jul 1, 2013","Jun 30, 2025",€18.00m
Álvaro Odriozola,Right-Back,Real Madrid,16,"Dec 14, 1995",26,1.76m,right,"Jul 5, 2018","Jun 30, 2024",€10.00m
Aurélien Tchouameni,Defensive Midfield,Real Madrid,18,"Jan 27, 2000",22,1.88m,right,"Jul 1, 2022","Jun 30, 2028",€80.00m
Federico Valverde,Central Midfield,Real Madrid,15,"Jul 22, 1998",24,1.82m,right,"Jul 1, 2018","Jun 30, 2027",€80.00m
Eduardo Camavinga,Central Midfield,Real Madrid,12,"Nov 10, 2002",19,1.82m,left,"Aug 31, 2021","Jun 30, 2027",€55.00m
Toni Kroos,Central Midfield,Real Madrid,8,"Jan 4, 1990",32,1.83m,right,"Jul 17, 2014","Jun 30, 2023",€20.00m
Dani Ceballos,Central Midfield,Real Madrid,19,"Aug 7, 1996",26,1.79m,right,"Jul 14, 2017","Jun 30, 2023",€14.00m
Luka Modric,Central Midfield,Real Madrid,10,"Sep 9, 1985",37,1.72m,both,"Aug 27, 2012","Jun 30, 2023",€10.00m
Vinicius Junior,Left Winger,Real Madrid,20,"Jul 12, 2000",22,1.76m,right,"Jul 12, 2018","Jun 30, 2024",€120.00m
Eden Hazard,Left Winger,Real Madrid,7,"Jan 7, 1991",31,1.75m,right,"Jul 1, 2019","Jun 30, 2024",€12.00m
Rodrygo,Right Winger,Real Madrid,21,"Jan 9, 2001",21,1.74m,right,"Jul 1, 2019","Jun 30, 2025",€70.00m
Marco Asensio,Right Winger,Real Madrid,11,"Jan 21, 1996",26,1.82m,left,"Jul 1, 2015","Jun 30, 2023",€35.00m
Lucas Vázquez,Right Winger,Real Madrid,17,"Jul 1, 1991",31,1.73m,right,"Jul 2, 2015","Jun 30, 2024",€12.00m
Karim Benzema,Centre-Forward,Real Madrid,9,"Dec 19, 1987",34,1.85m,right,"Jul 9, 2009","Jun 30, 2023",€30.00m
Mariano Díaz,Centre-Forward,Real Madrid,24,"Aug 1, 1993",29,1.80m,right,"Aug 29, 2018","Jun 30, 2023",€4.00m
Marc-André ter Stegen,Goalkeeper,FC Barcelona,1,"Apr 30, 1992",30,1.87m,right,"Jul 1, 2014","Jun 30, 2025",€30.00m
Iñaki Peña,Goalkeeper,FC Barcelona,26,"Mar 2, 1999",23,1.84m,right,"Jan 30, 2022","Jun 30, 2023",€4.20m
Arnau Tenas,Goalkeeper,FC Barcelona,36,"May 30, 2001",21,1.85m,right,-,"Jun 30, 2023",€1.50m
Ronald Araújo,Centre-Back,FC Barcelona,4,"Mar 7, 1999",23,1.88m,right,"Oct 5, 2020","Jun 30, 2026",€60.00m
Jules Koundé,Centre-Back,FC Barcelona,23,"Nov 12, 1998",23,1.78m,right,"Jul 28, 2022","Jun 30, 2027",€60.00m
Andreas Christensen,Centre-Back,FC Barcelona,15,"Apr 10, 1996",26,1.87m,right,"Jul 4, 2022","Jun 30, 2026",€35.00m
Eric García,Centre-Back,FC Barcelona,24,"Jan 9, 2001",21,1.82m,right,"Jul 1, 2021","Jun 30, 2026",€18.00m
Gerard Piqué,Centre-Back,FC Barcelona,3,"Feb 2, 1987",35,1.94m,right,"Jul 1, 2008","Jun 30, 2024",€3.00m
Marcos Alonso,Left-Back,FC Barcelona,17,"Dec 28, 1990",31,1.89m,left,"Sep 1, 2022","Jun 30, 2023",€12.00m
Jordi Alba,Left-Back,FC Barcelona,18,"Mar 21, 1989",33,1.70m,left,"Jul 1, 2012","Jun 30, 2024",€9.00m
Alejandro Balde,Left-Back,FC Barcelona,28,"Oct 18, 2003",19,1.75m,left,"Jul 1, 2022","Jun 30, 2024",€8.00m
Héctor Bellerín,Right-Back,FC Barcelona,2,"Mar 19, 1995",27,1.77m,right,"Sep 1, 2022","Jun 30, 2023",€20.00m
Sergi Roberto,Right-Back,FC Barcelona,20,"Feb 7, 1992",30,1.78m,right,"Jul 1, 2013","Jun 30, 2023",€6.00m
Sergio Busquets,Defensive Midfield,FC Barcelona,5,"Jul 16, 1988",34,1.89m,right,"Jul 1, 2008","Jun 30, 2023",€9.00m
Pedri,Central Midfield,FC Barcelona,8,"Nov 25, 2002",19,1.74m,right,"Sep 2, 2019","Jun 30, 2026",€90.00m
Gavi,Central Midfield,FC Barcelona,30,"Aug 5, 2004",18,1.73m,right,"Jul 1, 2021","Jun 30, 2026",€70.00m
Frenkie de Jong,Central Midfield,FC Barcelona,21,"May 12, 1997",25,1.80m,right,"Jul 1, 2019","Jun 30, 2026",€60.00m
Franck Kessié,Central Midfield,FC Barcelona,19,"Dec 19, 1996",25,1.83m,right,"Jul 4, 2022","Jun 30, 2026",€45.00m
Pablo Torre,Central Midfield,FC Barcelona,32,"Apr 3, 2003",19,1.73m,right,-,"Jun 30, 2026",€3.00m
Ansu Fati,Left Winger,FC Barcelona,10,"Oct 31, 2002",20,1.78m,right,"Sep 23, 2020","Jun 30, 2027",€60.00m
Ferran Torres,Left Winger,FC Barcelona,11,"Feb 29, 2000",22,1.84m,right,"Jan 1, 2022","Jun 30, 2027",€40.00m
Ousmane Dembélé,Right Winger,FC Barcelona,7,"May 15, 1997",25,1.78m,both,"Aug 25, 2017","Jun 30, 2024",€50.00m
Raphinha,Right Winger,FC Barcelona,22,"Dec 14, 1996",25,1.76m,left,"Jul 13, 2022","Jun 30, 2027",€50.00m
Robert Lewandowski,Centre-Forward,FC Barcelona,9,"Aug 21, 1988",34,1.85m,right,"Jul 19, 2022","Jun 30, 2026",€45.00m
Memphis Depay,Centre-Forward,FC Barcelona,14,"Feb 13, 1994",28,1.76m,right,"Jul 1, 2021","Jun 30, 2023",€25.00m
Jan Oblak,Goalkeeper,Atlético de Madrid,13,"Jan 7, 1993",29,1.88m,right,"Jul 16, 2014","Jun 30, 2028",€40.00m
Ivo Grbic,Goalkeeper,Atlético de Madrid,1,"Jan 18, 1996",26,1.95m,right,"Aug 20, 2020","Jun 30, 2024",€3.50m
José María Giménez,Centre-Back,Atlético de Madrid,2,"Jan 20, 1995",27,1.85m,right,"Apr 25, 2013","Jun 30, 2025",€45.00m
Mario Hermoso,Centre-Back,Atlético de Madrid,22,"Jun 18, 1995",27,1.84m,left,"Jul 18, 2019","Jun 30, 2024",€18.00m
Stefan Savic,Centre-Back,Atlético de Madrid,15,"Jan 8, 1991",31,1.87m,right,"Jul 20, 2015","Jun 30, 2024",€14.00m
Felipe,Centre-Back,Atlético de Madrid,18,"May 16, 1989",33,1.90m,right,"Jul 1, 2019","Jun 30, 2023",€6.00m
Sergio Reguilón,Left-Back,Atlético de Madrid,3,"Dec 16, 1996",25,1.78m,left,"Aug 30, 2022","Jun 30, 2023",€25.00m
Reinildo Mandava,Left-Back,Atlético de Madrid,23,"Jan 21, 1994",28,1.80m,left,"Jan 31, 2022","Jun 30, 2025",€25.00m
Nahuel Molina,Right-Back,Atlético de Madrid,16,"Apr 6, 1998",24,1.75m,right,"Jul 28, 2022","Jun 30, 2027",€20.00m
Geoffrey Kondogbia,Defensive Midfield,Atlético de Madrid,4,"Feb 15, 1993",29,1.88m,left,"Nov 3, 2020","Jun 30, 2024",€20.00m
Axel Witsel,Defensive Midfield,Atlético de Madrid,20,"Jan 12, 1989",33,1.86m,right,"Jul 6, 2022","Jun 30, 2023",€5.00m
Marcos Llorente,Central Midfield,Atlético de Madrid,14,"Jan 30, 1995",27,1.84m,right,"Jul 1, 2019","Jun 30, 2027",€40.00m
Rodrigo de Paul,Central Midfield,Atlético de Madrid,5,"May 24, 1994",28,1.80m,right,"Jul 12, 2021","Jun 30, 2026",€35.00m
Koke,Central Midfield,Atlético de Madrid,6,"Jan 8, 1992",30,1.76m,right,"Jan 1, 2011","Jun 30, 2024",€20.00m
Saúl Ñíguez,Central Midfield,Atlético de Madrid,17,"Nov 21, 1994",27,1.84m,left,"Jul 1, 2013","Jun 30, 2026",€20.00m
Thomas Lemar,Attacking Midfield,Atlético de Madrid,11,"Nov 12, 1995",26,1.71m,left,"Jul 1, 2018","Jun 30, 2023",€35.00m
Yannick Carrasco,Left Winger,Atlético de Madrid,21,"Sep 4, 1993",29,1.81m,right,"Sep 8, 2020","Jun 30, 2024",€40.00m
Ángel Correa,Right Winger,Atlético de Madrid,10,"Mar 9, 1995",27,1.71m,right,"Jan 1, 2015","Jun 30, 2026",€40.00m
João Félix,Second Striker,Atlético de Madrid,7,"Nov 10, 1999",22,1.81m,both,"Jul 3, 2019","Jun 30, 2026",€70.00m
Antoine Griezmann,Second Striker,Atlético de Madrid,8,"Mar 21, 1991",31,1.76m,left,"Aug 31, 2021","Jun 30, 2023",€35.00m
Matheus Cunha,Centre-Forward,Atlético de Madrid,9,"May 27, 1999",23,1.84m,right,"Aug 25, 2021","Jun 30, 2026",€30.00m
Álvaro Morata,Centre-Forward,Atlético de Madrid,19,"Oct 23, 1992",30,1.89m,right,"Jul 1, 2020","Jun 30, 2024",€25.00m
Álex Remiro,Goalkeeper,Real Sociedad,1,"Mar 24, 1995",27,1.91m,right,"Jul 1, 2019","Jun 30, 2027",€22.00m
Andoni Zubiaurre,Goalkeeper,Real Sociedad,13,"Dec 4, 1996",25,1.89m,left,"Jul 1, 2022","Jun 30, 2024",€300k
Robin Le Normand,Centre-Back,Real Sociedad,24,"Nov 11, 1996",25,1.87m,right,"Jul 1, 2019","Jun 30, 2026",€35.00m
Aritz Elustondo,Centre-Back,Real Sociedad,6,"Mar 28, 1994",28,1.82m,right,"Jan 4, 2016","Jun 30, 2024",€20.00m
Igor Zubeldia,Centre-Back,Real Sociedad,5,"Mar 30, 1997",25,1.81m,right,"Jul 1, 2017","Jun 30, 2024",€15.00m
Jon Pacheco,Centre-Back,Real Sociedad,20,"Jan 8, 2001",21,1.84m,left,"Jul 1, 2022","Jun 30, 2027",€1.00m
Aihen Muñoz,Left-Back,Real Sociedad,12,"Aug 16, 1997",25,1.75m,left,"Jul 1, 2019","Jun 30, 2024",€6.00m
Diego Rico,Left-Back,Real Sociedad,15,"Feb 23, 1993",29,1.83m,left,"Jul 26, 2021","Jun 30, 2023",€3.00m
Andoni Gorosabel,Right-Back,Real Sociedad,18,"Aug 4, 1996",26,1.74m,right,"Jul 1, 2018","Jun 30, 2024",€10.00m
Álex Sola,Right-Back,Real Sociedad,2,"Jun 9, 1999",23,1.78m,right,"Jul 1, 2022","Jun 30, 2026",€1.50m
Martín Zubimendi,Defensive Midfield,Real Sociedad,3,"Feb 2, 1999",23,1.81m,right,"Sep 10, 2020","Jun 30, 2027",€35.00m
Asier Illarramendi,Defensive Midfield,Real Sociedad,4,"Mar 8, 1990",32,1.79m,right,"Aug 26, 2015","Jun 30, 2023",€3.00m
Mikel Merino,Central Midfield,Real Sociedad,8,"Jun 22, 1996",26,1.89m,left,"Jul 12, 2018","Jun 30, 2025",€50.00m
Brais Méndez,Central Midfield,Real Sociedad,23,"Jan 7, 1997",25,1.84m,left,"Jul 6, 2022","Jun 30, 2028",€22.00m
Ander Guevara,Central Midfield,Real Sociedad,16,"Jul 7, 1997",25,1.80m,right,"Jul 1, 2019","Jun 30, 2024",€5.00m
Beñat Turrientes,Central Midfield,Real Sociedad,22,"Jan 31, 2002",20,1.81m,right,"Jul 1, 2022","Jun 30, 2027",€3.00m
David Silva,Attacking Midfield,Real Sociedad,21,"Jan 8, 1986",36,1.70m,left,"Aug 17, 2020","Jun 30, 2023",€4.00m
Robert Navarro,Attacking Midfield,Real Sociedad,17,"Apr 12, 2002",20,1.78m,right,"Aug 7, 2022","Jun 30, 2027",€3.00m
Mikel Oyarzabal,Left Winger,Real Sociedad,10,"Apr 21, 1997",25,1.81m,left,"Jan 1, 2016","Jun 30, 2024",€60.00m
Ander Barrenetxea,Left Winger,Real Sociedad,7,"Dec 27, 2001",20,1.75m,right,"Jul 1, 2019","Jun 30, 2027",€9.00m
Martín Merquelanz,Left Winger,Real Sociedad,-,"Jun 12, 1995",27,1.76m,left,"Aug 14, 2018","Jun 30, 2025",€1.50m
Takefusa Kubo,Right Winger,Real Sociedad,14,"Jun 4, 2001",21,1.73m,left,"Jul 19, 2022","Jun 30, 2027",€9.00m
Umar Sadiq,Centre-Forward,Real Sociedad,25,"Feb 2, 1997",25,1.91m,right,"Sep 1, 2022","Jun 30, 2028",€18.00m
Momo Cho,Centre-Forward,Real Sociedad,11,"Jan 19, 2004",18,1.82m,left,"Jul 1, 2022","Jun 30, 2027",€15.00m
Alexander Sörloth,Centre-Forward,Real Sociedad,19,"Dec 5, 1995",26,1.95m,left,"Aug 29, 2022","Jun 30, 2023",€10.00m
Carlos Fernández,Centre-Forward,Real Sociedad,9,"May 22, 1996",26,1.85m,left,"Jan 24, 2021","Jun 30, 2026",€5.00m
Jon Karrikaburu,Centre-Forward,Real Sociedad,33,"Sep 19, 2002",20,1.83m,right,"Jul 1, 2022","Jun 30, 2026",€5.00m
Gerónimo Rulli,Goalkeeper,Villarreal CF,13,"May 20, 1992",30,1.89m,right,"Sep 4, 2020","Jun 30, 2024",€6.00m
Filip Jörgensen,Goalkeeper,Villarreal CF,35,"Apr 16, 2002",20,1.90m,right,-,"Jun 30, 2025",€1.00m
Pepe Reina,Goalkeeper,Villarreal CF,1,"Aug 31, 1982",40,1.88m,right,"Jul 8, 2022","Jun 30, 2023",€700k
Pau Torres,Centre-Back,Villarreal CF,4,"Jan 16, 1997",25,1.91m,left,"Jul 1, 2018","Jun 30, 2024",€50.00m
Jorge Cuenca,Centre-Back,Villarreal CF,5,"Nov 17, 1999",22,1.90m,left,"Sep 21, 2020","Jun 30, 2025",€8.00m
Aïssa Mandi,Centre-Back,Villarreal CF,23,"Oct 22, 1991",31,1.84m,right,"Jul 1, 2021","Jun 30, 2025",€6.00m
Raúl Albiol,Centre-Back,Villarreal CF,3,"Sep 4, 1985",37,1.90m,right,"Jul 4, 2019","Jun 30, 2023",€3.00m
Alfonso Pedraza,Left-Back,Villarreal CF,24,"Apr 9, 1996",26,1.84m,left,"Jul 1, 2016","Jun 30, 2026",€18.00m
Johan Mojica,Left-Back,Villarreal CF,12,"Aug 21, 1992",30,1.85m,left,"Sep 1, 2022","Jun 30, 2026",€5.00m
Alberto Moreno,Left-Back,Villarreal CF,18,"Jul 5, 1992",30,1.71m,left,"Jul 9, 2019","Jun 30, 2024",€5.00m
Juan Foyth,Right-Back,Villarreal CF,8,"Jan 12, 1998",24,1.87m,right,"Jul 1, 2021","Jun 30, 2026",€25.00m
Kiko Femenía,Right-Back,Villarreal CF,2,"Feb 2, 1991",31,1.71m,right,"Jul 28, 2022","Jun 30, 2025",€2.50m
Francis Coquelin,Defensive Midfield,Villarreal CF,19,"May 13, 1991",31,1.77m,right,"Aug 12, 2020","Jun 30, 2024",€5.00m
Étienne Capoue,Defensive Midfield,Villarreal CF,6,"Jul 11, 1988",34,1.89m,right,"Jan 4, 2021","Jun 30, 2024",€3.00m
Giovani Lo Celso,Central Midfield,Villarreal CF,17,"Apr 9, 1996",26,1.77m,left,"Aug 14, 2022","Jun 30, 2023",€22.00m
Manu Trigueros,Central Midfield,Villarreal CF,14,"Oct 17, 1991",31,1.78m,right,"Jul 1, 2012","Jun 30, 2025",€12.00m
Dani Parejo,Central Midfield,Villarreal CF,10,"Apr 16, 1989",33,1.82m,right,"Aug 12, 2020","Jun 30, 2024",€9.00m
Manu Morlanes,Central Midfield,Villarreal CF,20,"Jan 12, 1999",23,1.78m,right,"Jul 7, 2021","Jun 30, 2026",€5.00m
Álex Baena,Left Winger,Villarreal CF,16,"Jul 20, 2001",21,1.74m,right,"Aug 1, 2020","Jun 30, 2025",€10.00m
Yéremy Pino,Right Winger,Villarreal CF,21,"Oct 20, 2002",20,1.72m,right,"Aug 1, 2020","Jun 30, 2027",€40.00m
Samuel Chukwueze,Right Winger,Villarreal CF,11,"May 22, 1999",23,1.72m,left,"Nov 1, 2018","Jun 30, 2024",€20.00m
Nicolas Jackson,Right Winger,Villarreal CF,15,"Jun 20, 2001",21,1.88m,right,"Jul 1, 2022","Jun 30, 2026",€10.00m
Arnaut Danjuma,Centre-Forward,Villarreal CF,9,"Jan 31, 1997",25,1.78m,right,"Aug 19, 2021","Jun 30, 2026",€50.00m
Gerard Moreno,Centre-Forward,Villarreal CF,7,"Apr 7, 1992",30,1.80m,left,"Jul 1, 2018","Jun 30, 2027",€40.00m
José Luis Morales,Centre-Forward,Villarreal CF,22,"Jul 23, 1987",35,1.80m,right,"Jul 1, 2022","Jun 30, 2024",€4.00m
Bono,Goalkeeper,Sevilla FC,13,"Apr 5, 1991",31,1.92m,left,"Sep 4, 2020","Jun 30, 2025",€18.00m
Marko Dmitrović,Goalkeeper,Sevilla FC,1,"Jan 24, 1992",30,1.94m,left,"Jul 4, 2021","Jun 30, 2025",€5.00m
Marcão,Centre-Back,Sevilla FC,23,"Jun 5, 1996",26,1.85m,left,"Jul 8, 2022","Jun 30, 2027",€14.00m
Tanguy Nianzou,Centre-Back,Sevilla FC,14,"Jun 7, 2002",20,1.91m,right,"Aug 17, 2022","Jun 30, 2027",€9.00m
Karim Rekik,Centre-Back,Sevilla FC,4,"Dec 2, 1994",27,1.86m,left,"Oct 5, 2020","Jun 30, 2025",€5.00m
Alex Telles,Left-Back,Sevilla FC,3,"Dec 15, 1992",29,1.81m,left,"Aug 4, 2022","Jun 30, 2023",€18.00m
Marcos Acuña,Left-Back,Sevilla FC,19,"Oct 28, 1991",31,1.72m,left,"Sep 14, 2020","Jun 30, 2025",€18.00m
Gonzalo Montiel,Right-Back,Sevilla FC,2,"Jan 1, 1997",25,1.76m,right,"Aug 13, 2021","Jun 30, 2026",€14.00m
José Ángel Carmona,Right-Back,Sevilla FC,30,"Jan 29, 2002",20,1.84m,right,-,"Jun 30, 2025",€5.00m
Jesús Navas,Right-Back,Sevilla FC,16,"Nov 21, 1985",36,1.72m,right,"Aug 1, 2017","Jun 30, 2024",€3.00m
Nemanja Gudelj,Defensive Midfield,Sevilla FC,6,"Nov 16, 1991",30,1.87m,right,"Jul 23, 2019","Jun 30, 2023",€4.00m
Fernando,Defensive Midfield,Sevilla FC,20,"Jul 25, 1987",35,1.83m,right,"Jul 12, 2019","Jun 30, 2024",€4.00m
Joan Jordán,Central Midfield,Sevilla FC,8,"Jul 6, 1994",28,1.85m,right,"Jul 1, 2019","Jun 30, 2027",€18.00m
Óliver Torres,Central Midfield,Sevilla FC,21,"Nov 10, 1994",27,1.75m,right,"Jul 15, 2019","Jun 30, 2024",€8.00m
Ivan Rakitic,Central Midfield,Sevilla FC,10,"Mar 10, 1988",34,1.84m,right,"Sep 1, 2020","Jun 30, 2024",€7.00m
Thomas Delaney,Central Midfield,Sevilla FC,18,"Sep 3, 1991",31,1.82m,left,"Aug 25, 2021","Jun 30, 2025",€7.00m
Isco,Attacking Midfield,Sevilla FC,22,"Apr 21, 1992",30,1.76m,right,"Aug 7, 2022","Jun 30, 2024",€7.50m
Papu Gómez,Left Winger,Sevilla FC,24,"Feb 15, 1988",34,1.67m,right,"Jan 26, 2021","Jun 30, 2024",€6.00m
Tecatito,Right Winger,Sevilla FC,9,"Jan 6, 1993",29,1.73m,both,"Jan 14, 2022","Jun 30, 2025",€18.00m
Erik Lamela,Right Winger,Sevilla FC,17,"Mar 4, 1992",30,1.84m,left,"Jul 26, 2021","Jun 30, 2024",€16.00m
Suso,Right Winger,Sevilla FC,7,"Nov 19, 1993",28,1.77m,left,"Jul 21, 2020","Jun 30, 2025",€10.00m
Adnan Januzaj,Right Winger,Sevilla FC,11,"Feb 5, 1995",27,1.86m,left,"Aug 31, 2022","Jun 30, 2026",€9.00m
Youssef En-Nesyri,Centre-Forward,Sevilla FC,15,"Jun 1, 1997",25,1.92m,left,"Jan 16, 2020","Jun 30, 2025",€20.00m
Kasper Dolberg,Centre-Forward,Sevilla FC,5,"Oct 6, 1997",25,1.87m,right,"Sep 1, 2022","Jun 30, 2023",€17.00m
Rafa Mir,Centre-Forward,Sevilla FC,12,"Jun 18, 1997",25,1.91m,right,"Aug 20, 2021","Jun 30, 2027",€16.00m
Rui Silva,Goalkeeper,Real Betis Balompié,13,"Feb 7, 1994",28,1.91m,left,"Jul 1, 2021","Jun 30, 2026",€15.00m
Dani Martín,Goalkeeper,Real Betis Balompié,25,"Jul 8, 1998",24,1.87m,right,"Jul 18, 2019","Jun 30, 2024",€2.00m
Claudio Bravo,Goalkeeper,Real Betis Balompié,1,"Apr 13, 1983",39,1.84m,right,"Aug 30, 2020","Jun 30, 2023",€1.00m
Luiz Felipe,Centre-Back,Real Betis Balompié,19,"Mar 22, 1997",25,1.87m,right,"Jul 4, 2022","Jun 30, 2027",€18.00m
Edgar González,Centre-Back,Real Betis Balompié,3,"Apr 1, 1997",25,1.93m,right,"Jul 21, 2020","Jun 30, 2025",€8.00m
Germán Pezzella,Centre-Back,Real Betis Balompié,16,"Jun 27, 1991",31,1.87m,right,"Aug 19, 2021","Jun 30, 2025",€5.00m
Víctor Ruiz,Centre-Back,Real Betis Balompié,6,"Jan 25, 1989",33,1.84m,left,"Aug 31, 2020","Jun 30, 2023",€1.50m
Álex Moreno,Left-Back,Real Betis Balompié,15,"Jun 8, 1993",29,1.79m,left,"Aug 21, 2019","Jun 30, 2025",€18.00m
Juan Miranda,Left-Back,Real Betis Balompié,33,"Jan 19, 2000",22,1.85m,left,"Jul 1, 2021","Jun 30, 2024",€5.00m
