player,position,team,shirt_number,dob,age,height,strong_foot,date_joined,date_contract,market_value
Youssouf Sabaly,Right-Back,Real Betis Balompié,23,"Mar 5, 1993",29,1.73m,right,"Jul 1, 2021","Jun 30, 2026",€3.00m
Aitor Ruibal,Right-Back,Real Betis Balompié,24,"Mar 22, 1996",26,1.76m,right,"Jul 1, 2019","Jun 30, 2025",€3.00m
Martín Montoya,Right-Back,Real Betis Balompié,2,"Apr 14, 1991",31,1.75m,right,"Aug 25, 2020","Jun 30, 2024",€1.50m
Guido Rodríguez,Defensive Midfield,Real Betis Balompié,5,"Apr 12, 1994",28,1.85m,right,"Jan 14, 2020","Jun 30, 2024",€25.00m
William Carvalho,Defensive Midfield,Real Betis Balompié,14,"Apr 7, 1992",30,1.87m,right,"Jul 13, 2018","Jun 30, 2026",€16.00m
Paul Akouokou,Defensive Midfield,Real Betis Balompié,4,"Dec 20, 1997",24,1.81m,right,"Sep 10, 2020","Jun 30, 2024",€4.00m
Andrés Guardado,Central Midfield,Real Betis Balompié,18,"Sep 28, 1986",36,1.69m,left,"Jul 7, 2017","Jun 30, 2023",€1.50m
Víctor Camarasa,Central Midfield,Real Betis Balompié,-,"May 28, 1994",28,1.83m,right,"Jul 1, 2017","Jun 30, 2023",€1.00m
Nabil Fekir,Attacking Midfield,Real Betis Balompié,8,"Jul 18, 1993",29,1.73m,left,"Jul 23, 2019","Jun 30, 2026",€40.00m
Sergio Canales,Attacking Midfield,Real Betis Balompié,10,"Feb 16, 1991",31,1.78m,left,"Jul 3, 2018","Jun 30, 2026",€20.00m
Rodri Sánchez,Attacking Midfield,Real Betis Balompié,28,"Feb 16, 2000",22,1.75m,left,"Jul 1, 2021","Jun 30, 2026",€7.00m
Juanmi,Left Winger,Real Betis Balompié,7,"May 20, 1993",29,1.72m,right,"Jul 1, 2019","Jun 30, 2024",€15.00m
Luiz Henrique,Right Winger,Real Betis Balompié,11,"Jan 2, 2001",21,1.82m,left,"Jul 1, 2022","Jun 30, 2028",€12.00m
Joaquín,Right Winger,Real Betis Balompié,17,"Jul 21, 1981",41,1.81m,right,"Aug 31, 2015","Jun 30, 2023",€1.50m
Borja Iglesias,Centre-Forward,Real Betis Balompié,9,"Jan 17, 1993",29,1.87m,right,"Aug 14, 2019","Jun 30, 2026",€20.00m
Willian José,Centre-Forward,Real Betis Balompié,12,"Nov 23, 1991",30,1.89m,right,"Jul 1, 2022","Jun 30, 2026",€12.00m
Loren Morón,Centre-Forward,Real Betis Balompié,21,"Dec 30, 1993",28,1.85m,right,"Jan 30, 2018","Jun 30, 2024",€4.00m
Giorgi Mamardashvili,Goalkeeper,Valencia CF,25,"Sep 29, 2000",22,1.97m,left,"Jan 1, 2022","Jun 30, 2027",€20.00m
Jaume Doménech,Goalkeeper,Valencia CF,-,"Nov 5, 1990",32,1.85m,right,"Jul 1, 2015","Jun 30, 2023",€2.00m
Iago Herrerín,Goalkeeper,Valencia CF,1,"Jan 25, 1988",34,1.87m,right,"Sep 28, 2022","Jun 30, 2023",€500k
Cristian Rivero,Goalkeeper,Valencia CF,13,"Mar 21, 1998",24,1.88m,right,"Aug 1, 2020","Jun 30, 2024",€200k
Mouctar Diakhaby,Centre-Back,Valencia CF,12,"Dec 19, 1996",25,1.92m,right,"Jul 1, 2018","Jun 30, 2023",€8.00m
Gabriel Paulista,Centre-Back,Valencia CF,5,"Nov 26, 1990",31,1.87m,right,"Aug 18, 2017","Jun 30, 2024",€5.00m
Cenk Özkacar,Centre-Back,Valencia CF,15,"Oct 6, 2000",22,1.90m,left,"Aug 23, 2022","Jun 30, 2023",€2.00m
Eray Cömert,Centre-Back,Valencia CF,24,"Feb 4, 1998",24,1.83m,right,"Jan 25, 2022","Jun 30, 2026",€2.00m
Cristhian Mosquera,Centre-Back,Valencia CF,33,"Jun 27, 2004",18,1.91m,right,-,"Jun 30, 2025",€1.00m
José Gayà,Left-Back,Valencia CF,14,"May 25, 1995",27,1.72m,left,"Jul 1, 2014","Jun 30, 2027",€35.00m
Jesús Vázquez,Left-Back,Valencia CF,21,"Jan 2, 2003",19,1.82m,left,"Jan 1, 2022","Jun 30, 2025",€5.00m
Toni Lato,Left-Back,Valencia CF,3,"Nov 21, 1997",24,1.71m,left,"Jul 1, 2017","Jun 30, 2023",€2.50m
Thierry Correia,Right-Back,Valencia CF,2,"Mar 9, 1999",23,1.76m,right,"Sep 2, 2019","Jun 30, 2026",€12.00m
Dimitri Foulquier,Right-Back,Valencia CF,20,"Mar 23, 1993",29,1.83m,right,"Aug 30, 2021","Jun 30, 2025",€3.00m
Hugo Guillamón,Defensive Midfield,Valencia CF,6,"Jan 31, 2000",22,1.78m,right,"Jul 1, 2020","Jun 30, 2026",€25.00m
Yunus Musah,Central Midfield,Valencia CF,4,"Nov 29, 2002",19,1.78m,right,"Aug 1, 2020","Jun 30, 2026",€25.00m
Nico González,Central Midfield,Valencia CF,17,"Jan 3, 2002",20,1.88m,right,"Aug 13, 2022","Jun 30, 2023",€20.00m
Ilaix Moriba,Central Midfield,Valencia CF,8,"Jan 19, 2003",19,1.85m,right,"Sep 1, 2022","Jun 30, 2023",€9.00m
André Almeida,Central Midfield,Valencia CF,18,"May 30, 2000",22,1.76m,right,"Aug 25, 2022","Jun 30, 2028",€8.00m
Justin Kluivert,Left Winger,Valencia CF,9,"May 5, 1999",23,1.72m,both,"Sep 1, 2022","Jun 30, 2023",€15.00m
Samuel Lino,Left Winger,Valencia CF,16,"Dec 23, 1999",22,1.78m,right,"Jul 28, 2022","Jun 30, 2023",€12.00m
Samu Castillejo,Right Winger,Valencia CF,11,"Jan 18, 1995",27,1.82m,left,"Jul 12, 2022","Jun 30, 2025",€6.00m
Hugo Duro,Centre-Forward,Valencia CF,19,"Nov 10, 1999",22,1.82m,left,"Jul 1, 2022","Jun 30, 2026",€10.00m
Marcos André,Centre-Forward,Valencia CF,22,"Oct 20, 1996",26,1.85m,right,"Aug 25, 2021","Jun 30, 2026",€5.00m
Edinson Cavani,Centre-Forward,Valencia CF,7,"Feb 14, 1987",35,1.84m,right,"Aug 29, 2022","Jun 30, 2024",€4.00m
Unai Simón,Goalkeeper,Athletic Bilbao,1,"Jun 11, 1997",25,1.90m,right,"Jul 1, 2018","Jun 30, 2025",€25.00m
Julen Agirrezabala,Goalkeeper,Athletic Bilbao,13,"Dec 26, 2000",21,1.87m,left,"Jul 1, 2022","Jun 30, 2025",€5.00m
Iñigo Martínez,Centre-Back,Athletic Bilbao,4,"May 17, 1991",31,1.82m,left,"Jan 30, 2018","Jun 30, 2023",€20.00m
Dani Vivian,Centre-Back,Athletic Bilbao,3,"Jul 5, 1999",23,1.84m,right,"Aug 1, 2020","Jun 30, 2026",€15.00m
Yeray Álvarez,Centre-Back,Athletic Bilbao,5,"Jan 24, 1995",27,1.82m,right,"Jul 1, 2016","Jun 30, 2026",€13.00m
Aitor Paredes,Centre-Back,Athletic Bilbao,31,"Apr 29, 2000",22,1.85m,right,-,"Jun 30, 2025",€400k
Yuri Berchiche,Left-Back,Athletic Bilbao,17,"Feb 10, 1990",32,1.81m,left,"Jul 2, 2018","Jun 30, 2024",€3.00m
Mikel Balenziaga,Left-Back,Athletic Bilbao,24,"Feb 29, 1988",34,1.77m,left,"Jul 1, 2013","Jun 30, 2023",€1.20m
Iñigo Lekue,Right-Back,Athletic Bilbao,15,"May 4, 1993",29,1.80m,right,"Jul 1, 2016","Jun 30, 2023",€3.00m
Ander Capa,Right-Back,Athletic Bilbao,21,"Feb 8, 1992",30,1.75m,right,"Jul 1, 2018","Jun 30, 2024",€2.50m
Óscar de Marcos,Right-Back,Athletic Bilbao,18,"Apr 14, 1989",33,1.82m,right,"Jul 1, 2010","Jun 30, 2023",€1.80m
Mikel Vesga,Defensive Midfield,Athletic Bilbao,6,"Apr 8, 1993",29,1.91m,left,"Jul 1, 2016","Jun 30, 2024",€3.00m
Unai Vencedor,Central Midfield,Athletic Bilbao,16,"Nov 15, 2000",21,1.76m,right,"Aug 1, 2020","Jun 30, 2027",€20.00m
Ander Herrera,Central Midfield,Athletic Bilbao,23,"Aug 14, 1989",33,1.82m,right,"Aug 27, 2022","Jun 30, 2023",€8.00m
Oier Zarraga,Central Midfield,Athletic Bilbao,19,"Jan 4, 1999",23,1.75m,right,"Feb 1, 2021","Jun 30, 2023",€3.50m
Dani García,Central Midfield,Athletic Bilbao,14,"May 24, 1990",32,1.79m,right,"Jul 1, 2018","Jun 30, 2024",€3.00m
Oihan Sancet,Attacking Midfield,Athletic Bilbao,8,"Apr 25, 2000",22,1.88m,right,"Aug 4, 2020","Jun 30, 2024",€20.00m
Iker Muniain,Attacking Midfield,Athletic Bilbao,10,"Dec 19, 1992",29,1.69m,right,"Jul 1, 2009","Jun 30, 2024",€16.00m
Jon Morcillo,Left Winger,Athletic Bilbao,2,"Sep 15, 1998",24,1.83m,left,"Aug 1, 2020","Jun 30, 2024",€4.00m
Nico Williams,Right Winger,Athletic Bilbao,11,"Jul 12, 2002",20,1.81m,right,"Jul 1, 2021","Jun 30, 2024",€22.00m
Álex Berenguer,Right Winger,Athletic Bilbao,7,"Jul 4, 1995",27,1.75m,right,"Oct 2, 2020","Jun 30, 2024",€15.00m
Iñaki Williams,Centre-Forward,Athletic Bilbao,9,"Jun 15, 1994",28,1.86m,right,"Jul 1, 2015","Jun 30, 2028",€25.00m
Asier Villalibre,Centre-Forward,Athletic Bilbao,20,"Sep 30, 1997",25,1.84m,left,"Jul 1, 2019","Jun 30, 2023",€3.00m
Raúl García,Centre-Forward,Athletic Bilbao,22,"Jul 11, 1986",36,1.84m,right,"Aug 30, 2015","Jun 30, 2023",€2.50m
Gorka Guruzeta,Centre-Forward,Athletic Bilbao,12,"Sep 12, 1996",26,1.88m,right,"Jul 3, 2022","Jun 30, 2024",€2.00m
David Soria,Goalkeeper,Getafe CF,13,"Apr 4, 1993",29,1.92m,right,"Jul 13, 2018","Jun 30, 2023",€8.00m
Kiko Casilla,Goalkeeper,Getafe CF,1,"Oct 2, 1986",36,1.90m,right,"Aug 10, 2022","Jun 30, 2023",€700k
Diego Conde,Goalkeeper,Getafe CF,27,"Oct 28, 1998",24,1.88m, ,"Jul 28, 2021","Jun 30, 2024",€300k
Djené,Centre-Back,Getafe CF,2,"Dec 31, 1991",30,1.78m,right,"Jul 24, 2017",-,€8.00m
Domingos Duarte,Centre-Back,Getafe CF,6,"Mar 10, 1995",27,1.92m,right,"Jul 11, 2022","Jun 30, 2026",€8.00m
Omar Alderete,Centre-Back,Getafe CF,15,"Dec 26, 1996",25,1.88m,left,"Aug 19, 2022","Jun 30, 2023",€7.00m
Gastón Álvarez,Centre-Back,Getafe CF,4,"Mar 24, 2000",22,1.84m,left,"Jan 28, 2022","Jun 30, 2023",€4.00m
Stefan Mitrović,Centre-Back,Getafe CF,23,"May 22, 1990",32,1.89m,both,"Jul 6, 2021","Jun 30, 2024",€1.80m
Jordan Amavi,Left-Back,Getafe CF,12,"Mar 9, 1994",28,1.76m,left,"Sep 1, 2022","Jun 30, 2023",€5.00m
Fabrizio Angileri,Left-Back,Getafe CF,3,"Mar 15, 1994",28,1.85m,left,"Jul 14, 2022","Jun 30, 2026",€3.00m
Juan Iglesias,Right-Back,Getafe CF,21,"Jul 3, 1998",24,1.87m,right,"Jul 1, 2021","Jun 30, 2026",€2.50m
Damián Suárez,Right-Back,Getafe CF,22,"Apr 27, 1988",34,1.73m,right,"Jul 8, 2015","Jun 30, 2023",€1.50m
Nemanja Maksimović,Defensive Midfield,Getafe CF,20,"Jan 26, 1995",27,1.84m,right,"Jul 16, 2018","Jun 30, 2024",€12.00m
Mauro Arambarri,Central Midfield,Getafe CF,18,"Sep 30, 1995",27,1.75m,right,"Jul 1, 2018","Jun 30, 2023",€15.00m
Carles Aleñá,Central Midfield,Getafe CF,11,"Jan 5, 1998",24,1.80m,left,"Jul 10, 2021","Jun 30, 2026",€9.00m
Luis Milla,Central Midfield,Getafe CF,5,"Oct 7, 1994",28,1.75m,right,"Jul 25, 2022","Jun 30, 2027",€4.00m
Jaime Seoane,Central Midfield,Getafe CF,8,"Jan 22, 1997",25,1.77m,right,"Jul 1, 2022","Jun 30, 2025",€4.00m
Ángel Algobia,Central Midfield,Getafe CF,16,"Jun 23, 1999",23,1.88m,right,"Aug 11, 2022","Jun 30, 2023",€500k
Portu,Right Winger,Getafe CF,9,"May 21, 1992",30,1.67m,right,"Jul 1, 2022","Jun 30, 2023",€6.00m
Enes Ünal,Centre-Forward,Getafe CF,10,"May 10, 1997",25,1.87m,right,"Aug 12, 2020","Jun 30, 2025",€25.00m
Borja Mayoral,Centre-Forward,Getafe CF,19,"Apr 5, 1997",25,1.82m,right,"Aug 1, 2022","Jun 30, 2027",€9.00m
Munir El Haddadi,Centre-Forward,Getafe CF,17,"Sep 1, 1995",27,1.75m,left,"Aug 31, 2022","Jun 30, 2023",€6.00m
Jaime Mata,Centre-Forward,Getafe CF,7,"Oct 24, 1988",34,1.86m,right,"Jul 1, 2018","Jun 30, 2024",€3.00m
Juanmi Latasa,Centre-Forward,Getafe CF,14,"Mar 23, 2001",21,1.92m,left,"Aug 26, 2022","Jun 30, 2023",€1.00m
Agustín Marchesín,Goalkeeper,Celta de Vigo,1,"Mar 16, 1988",34,1.88m,right,"Aug 1, 2022","Jun 30, 2025",€4.00m
Iván Villar,Goalkeeper,Celta de Vigo,13,"Jul 9, 1997",25,1.86m,right,"Jul 1, 2019","Jun 30, 2023",€1.20m
Unai Núñez,Centre-Back,Celta de Vigo,4,"Jan 30, 1997",25,1.86m,right,"Jul 20, 2022","Jun 30, 2023",€9.00m
Joseph Aidoo,Centre-Back,Celta de Vigo,15,"Sep 29, 1995",27,1.77m,right,"Jul 11, 2019","Jun 30, 2026",€7.00m
Óscar Mingueza,Centre-Back,Celta de Vigo,3,"May 13, 1999",23,1.84m,right,"Jul 30, 2022","Jun 30, 2026",€5.00m
Carlos Domínguez,Centre-Back,Celta de Vigo,26,"Feb 11, 2001",21,1.87m,left,-,"Jun 30, 2026",€1.00m
Javi Galán,Left-Back,Celta de Vigo,17,"Nov 19, 1994",27,1.72m,left,"Jul 31, 2021","Jun 30, 2026",€12.00m
Hugo Mallo,Right-Back,Celta de Vigo,2,"Jun 22, 1991",31,1.74m,right,"Jul 1, 2009","Jun 30, 2023",€4.00m
Kevin Vázquez,Right-Back,Celta de Vigo,20,"Mar 23, 1993",29,1.75m,right,"Jul 1, 2018","Jun 30, 2023",€2.00m
Renato Tapia,Defensive Midfield,Celta de Vigo,14,"Jul 28, 1995",27,1.85m,right,"Aug 4, 2020","Jun 30, 2024",€10.00m
Fran Beltrán,Central Midfield,Celta de Vigo,8,"Feb 3, 1999",23,1.65m,right,"Aug 1, 2018","Jun 30, 2026",€15.00m
Williot Swedberg,Central Midfield,Celta de Vigo,19,"Feb 1, 2004",18,1.85m,right,"Jul 1, 2022","Jun 30, 2027",€5.00m
Luca de la Torre,Central Midfield,Celta de Vigo,23,"May 23, 1998",24,1.77m,right,"Jul 8, 2022","Jun 30, 2026",€2.00m
Óscar Rodríguez,Attacking Midfield,Celta de Vigo,5,"Jun 28, 1998",24,1.74m,right,"Jul 8, 2022","Jun 30, 2023",€9.00m
Denis Suárez,Attacking Midfield,Celta de Vigo,6,"Jan 6, 1994",28,1.76m,right,"Jul 1, 2019","Jun 30, 2024",€5.00m
Gabri Veiga,Attacking Midfield,Celta de Vigo,28,"May 27, 2002",20,1.84m,right,"Jul 1, 2022","Jun 30, 2026",€3.00m
Franco Cervi,Left Winger,Celta de Vigo,11,"May 26, 1994",28,1.66m,left,"Jul 5, 2021","Jun 30, 2024",€5.00m
Carles Pérez,Right Winger,Celta de Vigo,7,"Feb 16, 1998",24,1.73m,left,"Aug 9, 2022","Jun 30, 2023",€6.00m
Augusto Solari,Right Winger,Celta de Vigo,21,"Jan 3, 1992",30,1.76m,right,"Jan 23, 2021","Jun 30, 2023",€2.50m
Jörgen Strand Larsen,Centre-Forward,Celta de Vigo,18,"Feb 6, 2000",22,1.93m,right,"Sep 1, 2022","Jun 30, 2028",€11.00m
Iago Aspas,Centre-Forward,Celta de Vigo,10,"Aug 1, 1987",35,1.76m,left,"Jul 7, 2015","Jun 30, 2025",€7.00m
Gonçalo Paciência,Centre-Forward,Celta de Vigo,9,"Aug 1, 1994",28,1.84m,right,"Aug 6, 2022","Jun 30, 2025",€3.00m
Sergio Herrera,Goalkeeper,CA Osasuna,1,"Jun 5, 1993",29,-, ,"Jul 12, 2017",-,€8.00m
Aitor Fernández,Goalkeeper,CA Osasuna,25,"May 3, 1991",31,1.82m,right,"Jul 2, 2022","Jun 30, 2025",€2.50m
Juan Pérez,Goalkeeper,CA Osasuna,13,"Jul 15, 1996",26,1.91m,right,"Jul 1, 2019","Jun 30, 2024",€600k
David García,Centre-Back,CA Osasuna,5,"Feb 14, 1994",28,1.85m,both,"Jan 1, 2015","Jun 30, 2026",€20.00m
Unai García,Centre-Back,CA Osasuna,4,"Feb 3, 1992",30,1.86m,right,"Jul 1, 2015","Jun 30, 2023",€1.50m
Aridane Hernández,Centre-Back,CA Osasuna,23,"Mar 23, 1989",33,1.88m,right,"Jul 17, 2017","Jun 30, 2023",€1.50m
Manu Sánchez,Left-Back,CA Osasuna,20,"Aug 24, 2000",22,1.71m,left,"Jul 27, 2022","Jun 30, 2023",€10.00m
Juan Cruz,Left-Back,CA Osasuna,3,"Jul 28, 1992",30,1.82m,left,"Aug 30, 2020","Jun 30, 2024",€2.00m
Nacho Vidal,Right-Back,CA Osasuna,2,"Jan 24, 1995",27,1.80m,right,"Jul 13, 2018","Jun 30, 2025",€5.00m
Rubén Peña,Right-Back,CA Osasuna,15,"Jul 18, 1991",31,1.70m,right,"Jul 1, 2022","Jun 30, 2025",€2.50m
Lucas Torró,Defensive Midfield,CA Osasuna,6,"Jul 19, 1994",28,1.90m,right,"Aug 4, 2020","Jun 30, 2027",€5.00m
Jon Moncayola,Central Midfield,CA Osasuna,7,"May 13, 1998",24,1.82m,right,"Jul 1, 2019","Jun 30, 2031",€12.00m
Darko Brasanac,Central Midfield,CA Osasuna,8,"Feb 12, 1992",30,1.78m,right,"Jul 22, 2019","Jun 30, 2023",€2.00m
Pablo Ibáñez,Central Midfield,CA Osasuna,19,"Sep 20, 1998",24,1.79m,right,"Jul 1, 2022","Jun 30, 2024",€400k
Roberto Torres,Attacking Midfield,CA Osasuna,10,"Mar 7, 1989",33,1.78m,right,"Jul 1, 2012","Jun 30, 2023",€3.00m
Aimar Oroz,Attacking Midfield,CA Osasuna,22,"Nov 27, 2001",20,1.77m,right,"Jul 1, 2022","Jun 30, 2026",€3.00m
Ez Abde,Left Winger,CA Osasuna,12,"Dec 17, 2001",20,1.77m,right,"Sep 1, 2022","Jun 30, 2023",€8.00m
Rubén García,Left Winger,CA Osasuna,14,"Jul 14, 1993",29,1.71m,left,"Jul 1, 2019","Jun 30, 2024",€8.00m
Moi Gómez,Left Winger,CA Osasuna,16,"Jun 23, 1994",28,1.76m,right,"Jul 28, 2022","Jun 30, 2027",€8.00m
Kike Saverio,Left Winger,CA Osasuna,-,"Jun 19, 1999",23,1.78m,both,"Jul 1, 2021","Jun 30, 2023",€200k
Kike Barja,Right Winger,CA Osasuna,11,"Apr 1, 1997",25,1.79m,right,"Jan 1, 2018","Jun 30, 2026",€3.00m
Chimy Ávila,Centre-Forward,CA Osasuna,9,"Feb 6, 1994",28,1.72m,right,"Jul 1, 2019","Jun 30, 2026",€10.00m
Ante Budimir,Centre-Forward,CA Osasuna,17,"Jul 22, 1991",31,1.90m,left,"Jul 1, 2021","Jun 30, 2025",€6.00m
Kike García,Centre-Forward,CA Osasuna,18,"Nov 25, 1989",32,1.86m,right,"Jul 1, 2021","Jun 30, 2024",€1.80m
Benjamin Lecomte,Goalkeeper,RCD Espanyol Barcelona,13,"Apr 26, 1991",31,1.86m,left,"Jul 13, 2022","Jun 30, 2023",€5.00m
Álvaro Fernández,Goalkeeper,RCD Espanyol Barcelona,25,"Apr 13, 1998",24,1.86m,left,"Aug 31, 2022","Jun 30, 2023",€4.00m
Joan García,Goalkeeper,RCD Espanyol Barcelona,1,"May 4, 2001",21,1.81m,right,"Jul 1, 2021","Jun 30, 2025",€400k
Leandro Cabrera,Centre-Back,RCD Espanyol Barcelona,4,"Jun 17, 1991",31,1.90m,left,"Jan 20, 2020","Jun 30, 2024",€4.00m
Sergi Gómez,Centre-Back,RCD Espanyol Barcelona,24,"Mar 28, 1992",30,1.85m,right,"Jul 28, 2021","Jun 30, 2024",€3.00m
Fernando Calero,Centre-Back,RCD Espanyol Barcelona,5,"Sep 14, 1995",27,1.84m,right,"Aug 9, 2019","Jun 30, 2024",€1.80m
Adrià Pedrosa,Left-Back,RCD Espanyol Barcelona,3,"May 13, 1998",24,1.72m,left,"Jul 1, 2019","Jun 30, 2023",€7.00m
Brian Oliván,Left-Back,RCD Espanyol Barcelona,14,"Apr 1, 1994",28,1.75m,left,"Jul 1, 2022","Jun 30, 2025",€2.50m
Óscar Gil,Right-Back,RCD Espanyol Barcelona,2,"Apr 26, 1998",24,1.75m,both,"Sep 7, 2020","Jun 30, 2024",€3.00m
Aleix Vidal,Right-Back,RCD Espanyol Barcelona,22,"Aug 21, 1989",33,1.77m,right,"Aug 18, 2021","Jun 30, 2023",€2.00m
Vinicius Souza,Defensive Midfield,RCD Espanyol Barcelona,12,"Jun 17, 1999",23,1.87m,right,"Jul 8, 2022","Jun 30, 2023",€4.50m
Sergi Darder,Central Midfield,RCD Espanyol Barcelona,10,"Dec 22, 1993",28,1.80m,right,"Jul 1, 2018","Jun 30, 2026",€14.00m
Keidi Bare,Central Midfield,RCD Espanyol Barcelona,8,"Aug 28, 1997",25,1.74m,right,"Sep 22, 2020","Jun 30, 2024",€4.00m
Edu Expósito,Central Midfield,RCD Espanyol Barcelona,20,"Aug 1, 1996",26,1.78m,right,"Aug 8, 2022","Jun 30, 2027",€4.00m
Pol Lozano,Central Midfield,RCD Espanyol Barcelona,6,"Oct 6, 1999",23,1.76m,right,"Jul 1, 2020","Jun 30, 2023",€1.50m
Javi Puado,Left Winger,RCD Espanyol Barcelona,7,"May 25, 1998",24,1.77m,right,"Jul 1, 2018","Jun 30, 2025",€8.00m
Nico Melamed,Left Winger,RCD Espanyol Barcelona,21,"Apr 11, 2001",21,1.73m,right,"Aug 1, 2020","Jun 30, 2024",€7.50m
José Carlos Lazo,Left Winger,RCD Espanyol Barcelona,16,"Feb 16, 1996",26,1.78m,both,"Aug 24, 2022","Jun 30, 2027",€2.50m
Martin Braithwaite,Centre-Forward,RCD Espanyol Barcelona,17,"Jun 5, 1991",31,1.77m,right,"Sep 1, 2022","Jun 30, 2025",€6.00m
